country_code,region,year,education_expenditure_gdp,student_teacher_ratio_primary,primary_completion_rate,school_life_expectancy,gender_ratio_primary,gender_ratio_secondary,gender_ratio_tertiary,gni_per_capita,public_expenditure_per_student,total_population,life_expectancy,fertility_rate,free_education_years,inbound_mobility_rate,outbound_mobility_rate
AD,Europe,2013,2.50616002082825,436.0,,,,,1.36251997947693,,15.56091,75194.0,84.406,1.142,10.0,36.2453498840332,228.5771331787109
AD,Europe,2014,3.07420992851257,427.0,66.2775573730469,,,,1.33464002609253,,13.02109,73737.0,84.485,1.168,10.0,,285.5350036621094
AD,Europe,2015,3.28034996986389,419.0,66.0949935913086,,,,1.36960995197296,,13.45657,72174.0,84.532,1.223,10.0,41.71657180786133,269.6010131835938
AD,Europe,2016,3.23707008361816,422.0,68.4967269897461,,,,1.288370013237,,12.74297,72181.0,84.489,1.184,10.0,42.88320922851563,257.6493225097656
AD,Europe,2017,3.21708989143372,406.0,65.8163299560547,,,,1.20709002017975,,12.72411,73763.0,84.359,1.129,10.0,30.84745979309082,246.8263702392578
AD,Europe,2018,3.2467200756073,412.0,66.7091827392578,,,,1.14952003955841,,12.30702,75162.0,84.242,1.053,10.0,44.19713973999023,245.0472259521484
AD,Europe,2019,3.15060997009277,411.0,64.2213592529297,,,,1.16048002243042,46450.0,,76474.0,84.098,1.045,10.0,41.07424926757813,236.5944976806641
AD,Europe,2020,2.63213038444519,411.0,62.7099685668945,,,,1.06749999523163,42450.0,,77380.0,79.418,1.028,10.0,43.95100021362305,247.4971618652344
AD,Europe,2021,2.58397221565247,410.0,62.0689697265625,,,,1.16626000404358,44720.0,,78364.0,82.331,1.058,10.0,43.05344009399414,254.2153167724609
AD,Europe,2022,2.64728999137878,422.0,,,,,1.03648996353149,50150.0,,79705.0,84.016,1.071,10.0,16.58799934387207,112.838623046875
AE,Asia,2013,,23440.0,75.5917587280273,,1.02781999111176,,,52160.0,,7693031.0,81.95,1.527,12.0,,6.562910079956055
AE,Asia,2014,,21644.0,77.8595428466797,,1.01874005794525,,,51990.0,,8059440.0,81.99,1.483,12.0,,6.590320110321045
AE,Asia,2015,,19518.0,79.8213500976562,,1.00173997879028,,,48510.0,,8505237.0,82.076,1.417,12.0,,6.957449913024902
AE,Asia,2016,,19073.0,,13.42131,0.96451997756958,0.958840012550354,,44750.0,,8935095.0,82.195,1.366,12.0,,7.345349788665771
AE,Asia,2017,,,,14.3441,0.980929970741272,0.918699979782104,,41390.0,,9223225.0,82.388,1.35,12.0,,5.8713698387146
AE,Asia,2018,,,,,,,,43370.0,,9346701.0,82.449,1.288,12.0,72.5889892578125,
AE,Asia,2019,3.86020994186401,29769.0,84.0476379394531,,1.00198996067047,0.986909985542297,,45070.0,,9445785.0,82.596,1.247,12.0,72.78182983398438,4.516600131988525
AE,Asia,2020,3.98417997360229,24646.0,81.5337524414062,,1.00943005084991,1.01218998432159,1.04738998413086,41100.0,,9401038.0,81.936,1.289,12.0,71.97245025634766,4.971459865570068
AE,Asia,2021,3.89403009414673,,,,,,,42640.0,,9575152.0,79.083,1.162,12.0,71.31717681884766,
AE,Asia,2022,,,,,,,,46070.0,,10074977.0,80.487,1.148,12.0,70.20426177978516,
AF,Asia,2013,3.45445990562439,130957.0,,,0.702859997749329,0.552259981632233,,670.0,11.17447,31622704.0,62.188,5.879,12.0,,
AF,Asia,2014,3.69521999359131,,,10.17435,0.698249995708466,0.556400001049042,0.266440004110336,640.0,11.72219,32792523.0,62.26,5.77,12.0,0.0,7.469590187072754
AF,Asia,2015,3.2558000087738,142880.0,,,0.68080997467041,0.557900011539459,,590.0,10.24688,33831764.0,62.27,5.652,12.0,,
AF,Asia,2016,4.54397010803223,140529.0,82.9104614257812,,0.679369986057281,0.571280002593994,,560.0,10.34081,34700612.0,62.646,5.542,12.0,,
AF,Asia,2017,4.34319019317627,132347.0,87.2533264160156,,0.676169991493225,0.568419992923737,,530.0,10.25174,35688935.0,62.406,5.433,12.0,,
AF,Asia,2018,,134145.0,88.7355194091797,10.19755,0.666909992694855,0.57098001241684,0.33967998623848,520.0,,36743039.0,62.443,5.327,12.0,,8.281169891357422
AF,Asia,2019,,135751.0,86.1755218505859,,0.671689987182617,,,520.0,,37856121.0,62.941,5.238,12.0,,
