indicatorId,geoUnit,year,value,qualifier,magnitude
MSEP.5T8,ABW,2003,5.442580223083496,,
MSEP.5T8,ABW,2005,1.899340033531189,,
MSEP.5T8,ABW,2006,8.070679664611816,,
MSEP.5T8,ABW,2009,4.872499942779541,,
MSEP.5T8,ABW,2010,2.70386004447937,,
MSEP.5T8,ABW,2011,3.554310083389282,,
MSEP.5T8,ABW,2012,1.373520016670227,,
MSEP.5T8,ABW,2013,22.77730941772461,,
MSEP.5T8,ABW,2014,22.02429008483887,,
MSEP.5T8,ABW,2015,27.61577987670898,,
MSEP.5T8,ABW,2016,27.62384986877441,,
MSEP.5T8,AFG,2009,0,,NIL
MSEP.5T8,AFG,2014,0,,NIL
MSEP.5T8,AFG,2020,0,,NIL
MSEP.5T8,AIA,2000,0,,NA
MSEP.5T8,AIA,2001,0,,NA
MSEP.5T8,AIA,2002,0,,NA
MSEP.5T8,AIA,2003,33.33332824707031,,
MSEP.5T8,AIA,2004,0,,NA
MSEP.5T8,AIA,2006,0,,NIL
MSEP.5T8,AIA,2007,0,,NIL
MSEP.5T8,AIA,2008,0,,NIL
MSEP.5T8,AIMS: Asia and the Pacific,2000,0.84509999,UIS_EST,
MSEP.5T8,AIMS: Asia and the Pacific,2001,0.81989002,UIS_EST,
MSEP.5T8,AIMS: Asia and the Pacific,2002,0.95528001,UIS_EST,
MSEP.5T8,AIMS: Asia and the Pacific,2003,0.93773001,UIS_EST,
MSEP.5T8,AIMS: Asia and the Pacific,2004,0.85992998,UIS_EST,
MSEP.5T8,AIMS: Asia and the Pacific,2005,0.86346,UIS_EST,
MSEP.5T8,AIMS: Asia and the Pacific,2006,0.84754997,,
MSEP.5T8,AIMS: Asia and the Pacific,2007,0.86726999,,
MSEP.5T8,AIMS: Asia and the Pacific,2008,0.87787002,,
MSEP.5T8,AIMS: Asia and the Pacific,2009,0.93757999,UIS_EST,
MSEP.5T8,AIMS: Asia and the Pacific,2010,0.93410999,,
MSEP.5T8,AIMS: Asia and the Pacific,2011,0.88270998,,
MSEP.5T8,AIMS: Asia and the Pacific,2012,0.82077003,,
MSEP.5T8,AIMS: Asia and the Pacific,2013,0.85567999,,
MSEP.5T8,AIMS: Asia and the Pacific,2014,0.83389002,,
MSEP.5T8,AIMS: Asia and the Pacific,2015,0.87033999,,
MSEP.5T8,AIMS: Asia and the Pacific,2016,0.95073003,,
MSEP.5T8,AIMS: Asia and the Pacific,2017,1.01359,,
MSEP.5T8,AIMS: Asia and the Pacific,2018,1.09991,,
MSEP.5T8,AIMS: Asia and the Pacific,2019,1.1714,,
MSEP.5T8,AIMS: Asia and the Pacific,2020,1.16545,,
MSEP.5T8,AIMS: Asia and the Pacific,2021,1.05836,,
MSEP.5T8,AIMS: Asia and the Pacific,2022,1.0271699,,
MSEP.5T8,AIMS: Central Asia,2000,2.0063801,UIS_EST,
MSEP.5T8,AIMS: Central Asia,2001,1.44156,,
MSEP.5T8,AIMS: Central Asia,2002,1.75547,UIS_EST,
MSEP.5T8,AIMS: Central Asia,2003,1.64108,,
MSEP.5T8,AIMS: Central Asia,2004,1.84508,,
MSEP.5T8,AIMS: Central Asia,2005,2.27865,,
MSEP.5T8,AIMS: Central Asia,2006,2.42905,,
MSEP.5T8,AIMS: Central Asia,2007,2.57375,,
MSEP.5T8,AIMS: Central Asia,2008,2.3931301,,
MSEP.5T8,AIMS: Central Asia,2009,2.1140299,,
MSEP.5T8,AIMS: Central Asia,2010,2.06881,,
MSEP.5T8,AIMS: Central Asia,2011,1.74185,,
MSEP.5T8,AIMS: Central Asia,2012,1.42944,,
MSEP.5T8,AIMS: Central Asia,2013,1.42197,,
MSEP.5T8,AIMS: Central Asia,2014,1.65488,,
