indicatorId,geoUnit,year,value,qualifier,magnitude
MOR.5T8.40510,ABW,2000,10.83650016784668,UIS_EST,
MOR.5T8.40510,ABW,2001,9.305899620056152,UIS_EST,
MOR.5T8.40510,ABW,2002,20.35176086425781,UIS_EST,
MOR.5T8.40510,ABW,2003,8.851670265197754,UIS_EST,
MOR.5T8.40510,ABW,2004,14.55399036407471,UIS_EST,
MOR.5T8.40510,ABW,2005,7.467179775238037,UIS_EST,
MOR.5T8.40510,ABW,2006,8.954999923706055,UIS_EST,
MOR.5T8.40510,ABW,2007,7.964900016784668,UIS_EST,
MOR.5T8.40510,ABW,2008,5.904039859771729,UIS_EST,
MOR.5T8.40510,ABW,2009,11.79889011383057,UIS_EST,
MOR.5T8.40510,ABW,2010,21.75168037414551,UIS_EST,
MOR.5T8.40510,ABW,2011,8.553970336914062,UIS_EST,
MOR.5T8.40510,ABW,2012,8.300970077514648,UIS_EST,
MOR.5T8.40510,ABW,2013,19.38574981689453,UIS_EST,
MOR.5T8.40510,ABW,2014,17.59342002868652,UIS_EST,
MOR.5T8.40510,ABW,2015,19.13028907775879,UIS_EST,
MOR.5T8.40510,ABW,2016,20.1219596862793,,
MOR.5T8.40510,AFG,2003,9.724140167236328,UIS_EST,
MOR.5T8.40510,AFG,2004,9.44668960571289,UIS_EST,
MOR.5T8.40510,AFG,2009,5.806290149688721,UIS_EST,
MOR.5T8.40510,AFG,2011,9.688859939575195,UIS_EST,
MOR.5T8.40510,AFG,2014,7.469590187072754,UIS_EST,
MOR.5T8.40510,AFG,2018,8.281169891357422,,
MOR.5T8.40510,AFG,2020,7.728990077972412,,
MOR.5T8.40510,AGO,2002,56.58877944946289,UIS_EST,
MOR.5T8.40510,AGO,2003,16.34635925292969,UIS_EST,
MOR.5T8.40510,AGO,2004,21.60549926757813,UIS_EST,
MOR.5T8.40510,AGO,2005,18.93487930297852,UIS_EST,
MOR.5T8.40510,AGO,2006,19.35819053649902,UIS_EST,
MOR.5T8.40510,AGO,2011,6.887529850006104,UIS_EST,
