country_code,year,free_education_years,inbound_mobility_rate,outbound_mobility_rate,region
AGO,2013,6.0,,4.823319911956787,Africa
AGO,2014,6.0,,,Africa
AGO,2015,6.0,,6.16146993637085,Africa
AGO,2016,9.0,,6.155010223388672,Africa
AGO,2017,9.0,,,Africa
AGO,2018,9.0,,,Africa
AGO,2019,9.0,,,Africa
AGO,2020,9.0,,,Africa
AGO,2021,9.0,,,Africa
AGO,2022,9.0,,,Africa
BDI,2013,,8.045479774475098,6.483170032501221,Africa
BDI,2014,,,5.656529903411865,Africa
BDI,2015,,3.217180013656616,5.004010200500488,Africa
BDI,2016,,3.571619987487793,7.617400169372559,Africa
BDI,2017,,4.454140186309814,7.822539806365967,Africa
BDI,2018,,4.767250061035156,8.651860237121582,Africa
BEN,2013,6.0,,3.635550022125244,Africa
BEN,2014,6.0,6.866650104522705,3.940239906311035,Africa
BEN,2015,6.0,7.892670154571533,4.851739883422852,Africa
BEN,2016,6.0,8.877670288085938,5.353549957275391,Africa
BEN,2017,6.0,7.027369976043701,5.891930103302002,Africa
BEN,2018,6.0,4.504300117492676,5.781290054321289,Africa
BEN,2019,6.0,3.1494300365448,6.500319957733154,Africa
BEN,2020,6.0,2.966109991073608,7.011640071868896,Africa
BEN,2021,6.0,3.108890056610107,7.783909797668457,Africa
BEN,2022,6.0,3.086889982223511,7.930240154266357,Africa
BFA,2013,10.0,2.899990081787109,5.982749938964844,Africa
BFA,2014,10.0,1.445019960403442,6.185269832611084,Africa
BFA,2015,10.0,2.758440017700195,6.50738000869751,Africa
BFA,2016,10.0,2.97271990776062,6.068570137023926,Africa
BFA,2017,10.0,3.114680051803589,5.84846019744873,Africa
BFA,2018,10.0,2.716500043869019,5.605649948120117,Africa
BFA,2019,10.0,2.278810024261475,5.312129974365234,Africa
BFA,2020,10.0,2.052809953689575,5.032199859619141,Africa
BFA,2021,10.0,1.905709981918335,4.244919776916504,Africa
BFA,2022,10.0,1.762320041656494,4.109990119934082,Africa
BWA,2013,,,6.905089855194092,Africa
BWA,2014,,2.570379972457886,6.221970081329346,Africa
BWA,2015,,1.630820035934448,5.326369762420654,Africa
BWA,2016,,2.631220102310181,5.979100227355957,Africa
BWA,2017,,2.386539936065674,5.189899921417236,Africa
BWA,2019,,2.259759902954102,5.127480030059814,Africa
BWA,2020,,2.200429916381836,4.65326976776123,Africa
BWA,2021,,2.46697998046875,4.684939861297607,Africa
BWA,2022,,2.495409965515137,4.603630065917969,Africa
CAF,2013,13.0,,,Africa
CAF,2014,13.0,,,Africa
CAF,2015,13.0,,,Africa
CAF,2016,13.0,,,Africa
CAF,2017,13.0,,,Africa
CAF,2018,13.0,,,Africa
CAF,2019,13.0,,,Africa
CAF,2020,13.0,,,Africa
CAF,2021,13.0,,,Africa
CAF,2022,13.0,,,Africa
CIV,2013,10.0,,5.571199893951416,Africa
CIV,2014,10.0,1.677019953727722,6.039070129394531,Africa
CIV,2015,10.0,1.798230051994324,6.013899803161621,Africa
CIV,2016,10.0,2.133239984512329,6.511539936065674,Africa
CIV,2017,10.0,2.173330068588257,6.385980129241943,Africa
CIV,2018,10.0,,,Africa
CIV,2019,10.0,2.640640020370483,6.630330085754395,Africa
CIV,2020,10.0,2.438810110092163,7.116330146789551,Africa
CIV,2021,10.0,1.375489950180054,6.956419944763184,Africa
CIV,2022,10.0,1.412060022354126,6.542990207672119,Africa
CMR,2013,6.0,,6.900619983673096,Africa
CMR,2014,6.0,,7.163640022277832,Africa
CMR,2015,6.0,,6.962230205535889,Africa
CMR,2016,6.0,0.97257000207901,9.658539772033691,Africa
CMR,2017,6.0,1.357750058174133,9.458169937133787,Africa
CMR,2018,6.0,2.813839912414551,8.336380004882812,Africa
CMR,2019,6.0,3.716769933700562,7.676070213317871,Africa
CMR,2020,6.0,3.343980073928833,7.752019882202148,Africa
CMR,2021,6.0,3.154150009155273,7.612730026245117,Africa
CMR,2022,6.0,2.053450107574463,7.943299770355225,Africa
COD,2013,6.0,1.177029967308044,1.885589957237244,Africa
COD,2014,6.0,,,Africa
COD,2015,6.0,,,Africa
COD,2016,6.0,0.4383699893951416,2.196419954299927,Africa
COD,2017,6.0,,,Africa
COD,2018,6.0,,,Africa
COD,2019,6.0,,,Africa
COD,2020,6.0,0.4370900094509125,2.89424991607666,Africa
COD,2021,6.0,,,Africa
COD,2022,6.0,,,Africa
COG,2013,13.0,0.9287999868392944,33.05335998535156,Africa
COG,2014,13.0,,,Africa
COG,2015,13.0,,,Africa
COG,2016,13.0,,,Africa
COG,2017,13.0,,27.84174919128418,Africa
COG,2018,13.0,,,Africa
COG,2019,13.0,,,Africa
COG,2020,13.0,,,Africa
COG,2021,13.0,,,Africa
COG,2022,13.0,,,Africa
COM,2013,6.0,,97.22981262207033,Africa
COM,2014,6.0,0.0,107.2486419677734,Africa
COM,2015,6.0,,,Africa
COM,2016,6.0,,,Africa
COM,2017,6.0,,,Africa
COM,2018,6.0,,,Africa
COM,2019,6.0,,,Africa
COM,2020,6.0,,,Africa
COM,2021,6.0,,,Africa
COM,2022,6.0,,,Africa
CPV,2013,8.0,0.9641900062561036,33.04497146606445,Africa
CPV,2014,8.0,1.351050019264221,23.68968963623047,Africa
CPV,2015,8.0,1.347900032997131,24.61590003967285,Africa
CPV,2016,8.0,0.9903299808502196,27.08419990539551,Africa
CPV,2017,8.0,0.8195400238037109,27.46299934387207,Africa
CPV,2018,8.0,1.440950036048889,31.70383071899414,Africa
CPV,2019,8.0,,,Africa
CPV,2020,8.0,,,Africa
CPV,2021,8.0,,,Africa
CPV,2022,8.0,,,Africa
DJI,2013,12.0,,,Africa
DJI,2014,12.0,,,Africa
DJI,2015,12.0,,,Africa
DJI,2016,12.0,,,Africa
DJI,2017,12.0,,,Africa
DJI,2018,12.0,,,Africa
DJI,2019,12.0,,,Africa
DJI,2020,12.0,,,Africa
DJI,2021,12.0,,,Africa
DJI,2022,12.0,,,Africa
DZA,2013,12.0,0.5910199880599976,1.684939980506897,Africa
DZA,2014,12.0,0.6385499835014343,1.661479949951172,Africa
DZA,2015,12.0,0.6178500056266785,1.587540030479431,Africa
DZA,2016,12.0,0.4987500011920929,1.521600008010864,Africa
DZA,2017,12.0,0.5529500246047974,1.663249969482422,Africa
DZA,2018,12.0,0.5312100052833557,1.864799976348877,Africa
DZA,2019,12.0,0.5242400169372559,1.983430027961731,Africa
DZA,2020,12.0,0.5592700242996216,2.078089952468872,Africa
DZA,2021,12.0,0.6195099949836731,2.165359973907471,Africa
DZA,2022,12.0,0.5024600028991699,2.330209970474243,Africa
EGY,2013,12.0,1.77564001083374,0.8163400292396545,Africa
EGY,2014,12.0,1.879439949989319,0.9401400089263916,Africa
EGY,2015,12.0,,0.9314600229263306,Africa
EGY,2016,12.0,1.834239959716797,1.129169940948486,Africa
EGY,2017,12.0,,1.193330049514771,Africa
EGY,2018,12.0,,1.213899970054626,Africa
EGY,2019,12.0,,,Africa
EGY,2020,12.0,0.9444299936294556,1.488680005073547,Africa
EGY,2021,12.0,,,Africa
EGY,2022,12.0,1.987679958343506,1.974670052528381,Africa
ERI,2013,8.0,,,Africa
ERI,2014,8.0,,13.78577995300293,Africa
ERI,2015,8.0,,15.42702960968018,Africa
ERI,2016,8.0,,19.69042015075684,Africa
ERI,2017,8.0,,,Africa
ERI,2018,8.0,,,Africa
ERI,2019,8.0,,,Africa
ERI,2020,8.0,,,Africa
ERI,2021,8.0,,,Africa
ERI,2022,8.0,,,Africa
ETH,2013,8.0,,,Africa
ETH,2014,8.0,,0.8183799982070923,Africa
ETH,2015,8.0,,,Africa
ETH,2016,8.0,,,Africa
ETH,2017,8.0,,,Africa
ETH,2018,8.0,,,Africa
ETH,2019,8.0,,,Africa
ETH,2020,8.0,,,Africa
ETH,2021,8.0,,,Africa
ETH,2022,8.0,,,Africa
GAB,2013,10.0,,,Africa
GAB,2014,10.0,,,Africa
GAB,2015,10.0,,,Africa
GAB,2016,10.0,,,Africa
GAB,2017,10.0,,,Africa
GAB,2018,10.0,,,Africa
GAB,2019,10.0,,,Africa
GAB,2020,10.0,,,Africa
GAB,2021,10.0,,,Africa
GAB,2022,10.0,,,Africa
GHA,2013,9.0,3.044100046157837,3.033370018005371,Africa
GHA,2014,9.0,3.899869918823242,3.007400035858154,Africa
GHA,2015,9.0,4.268159866333008,3.204040050506592,Africa
