country_code,country_name,region,year,education_expenditure_gdp,student_teacher_ratio_primary,primary_completion_rate,school_life_expectancy,gender_ratio_primary,gender_ratio_secondary,gender_ratio_tertiary,gni_per_capita,public_expenditure_per_student,total_population,life_expectancy,fertility_rate
DZ,DZ,Africa,2013,6.65906047821045,155144.0,101.996597290039,,0.948409974575043,,1.35364997386932,5970.0,,38414171.0,74.809,2.997
DZ,DZ,Africa,2014,6.54889822006226,159115.0,101.006042480469,,0.950959980487823,,1.36342000961304,6030.0,,39205031.0,74.992,3.084
DZ,DZ,Africa,2015,6.17633008956909,164684.0,98.1254730224609,,0.952300012111664,,1.37646996974945,5390.0,,40019529.0,75.159,3.091
DZ,DZ,Africa,2016,6.50210857391357,169931.0,100.489837646484,,0.949720025062561,,1.41565001010895,4920.0,,40850721.0,75.31,3.091
DZ,DZ,Africa,2017,5.73482370376587,176809.0,102.320610046387,,0.950929999351501,,1.33998000621796,4440.0,,41689299.0,75.431,3.09
DZ,DZ,Africa,2018,5.81275129318237,182153.0,102.68798828125,,0.954990029335022,,1.40358996391296,4450.0,,42505035.0,75.555,3.019
DZ,DZ,Africa,2019,5.57536554336548,222838.0,99.7298889160156,,0.958090007305145,,1.40271997451782,4480.0,,43294546.0,75.682,2.997
DZ,DZ,Africa,2020,6.1939172744751,200749.0,102.240936279297,,0.969200015068054,,1.41146004199982,4020.0,,44042091.0,73.257,2.94
DZ,DZ,Africa,2021,5.51403284072876,200749.0,99.7526779174805,,,,1.39614999294281,4120.0,,44761099.0,75.208,2.87
DZ,DZ,Africa,2022,4.74924659729004,206998.0,94.7113876342773,,,,1.42060995101929,4430.0,,45477389.0,76.129,2.817
BJ,BJ,Africa,2013,3.3275101184845,47201.0,76.898193359375,12.55958,0.915210008621216,0.670080006122589,0.383980005979538,1140.0,11.04903,10708834.0,58.863,5.41
BJ,BJ,Africa,2014,3.161789894104,46454.0,77.3113479614258,12.56749,0.92426997423172,0.689710021018982,0.368950009346008,1180.0,10.19757,11030004.0,59.008,5.374
BJ,BJ,Africa,2015,3.17298007011414,49688.0,78.0327072143555,12.80451,0.930239975452423,0.714070022106171,0.406080007553101,1100.0,10.25321,11360681.0,59.123,5.32
BJ,BJ,Africa,2016,2.89910006523132,54463.0,77.419189453125,12.61455,0.936269998550415,0.75559002161026,0.424789994955063,1040.0,,11697842.0,59.283,5.254
BJ,BJ,Africa,2017,3.53558993339539,51677.0,,,0.935029983520508,,0.443650007247925,1020.0,,12039780.0,59.528,5.155
BJ,BJ,Africa,2018,2.93161988258362,56738.0,,,0.937330007553101,,0.472009986639023,1120.0,,12383347.0,59.71,5.031
BJ,BJ,Africa,2019,2.96520113945007,53341.0,61.7928314208984,,0.929679989814758,,0.482840001583099,1170.0,,12726755.0,59.888,4.9
BJ,BJ,Africa,2020,3.09441518783569,57002.0,60.2596817016602,,0.925499975681305,0.809300005435944,0.519410014152527,1190.0,,13070169.0,60.154,4.795
